CD_MICRO;NM_MICRO;SIGLA_UF;2013;2014;2015;2016;2017;2018
11001;Porto Velho;RO;0,00986;0,00968;0,00971;0,01006;0,01108;0,01074
11002;Guajará-Mirim;RO;0,00146;0,00153;0,00008;0,00216;0,00132;0,00244
11003;Ariquemes;RO;0,00826;0,00619;0,00587;0,0055;0,00694;0,00577
11004;Ji-Paraná;RO;-0,01646;-0,01663;-0,01704;-0,0177;-0,01666;-0,01731
11005;Alvorada D'Oeste;RO;-0,01577;-0,01667;-0,01589;-0,01559;-0,01548;-0,01634
11006;Cacoal;RO;-0,01262;-0,01216;-0,01276;-0,01336;-0,01268;-0,01424
11007;Vilhena;RO;0,01066;0,00956;0,00957;0,00941;0,01042;0,00967
11008;Colorado do Oeste;RO;-0,0254;-0,02712;-0,02806;-0,02869;-0,02758;-0,02898
12001;Cruzeiro do Sul;AC;0,00535;0,00578;0,00663;0,0071;0,01058;0,00991
12002;Tarauacá;AC;-0,00239;-0,0003;-0,00217;0,00023;0,00088;0,00004
12003;Sena Madureira;AC;0,00382;0,00641;0,00789;0,00853;0,01111;0,00945
12004;Rio Branco;AC;0,00998;0,00867;0,00905;0,00912;0,01049;0,01049
12005;Brasiléia;AC;0,01046;0,00965;0,01013;0,00932;0,01169;0,01009
13001;Rio Negro;AM;0,00683;0,00768;0,00727;0,00767;0,007;0,00731
13002;Japurá;AM;-0,02894;-0,02924;-0,03406;-0,03103;-0,03327;-0,03459
13003;Alto Solimões;AM;-0,01024;-0,0097;-0,01173;-0,00921;-0,00953;-0,00976
13004;Juruá;AM;-0,00635;-0,00671;-0,00641;-0,00634;-0,00396;-0,00556
13005;Tefé;AM;-0,02384;-0,02677;-0,02465;-0,02724;-0,02589;-0,02861
13006;Coari;AM;0,00225;0,0013;0,00144;0,00226;0,00265;0,00204
13007;Manaus;AM;0,0048;0,00462;0,00426;0,00488;0,00604;0,00636
13008;Rio Preto da Eva;AM;0,02408;0,02356;0,02393;0,02463;0,02483;0,02478
13009;Itacoatiara;AM;0,0005;0,00028;0,00049;0,00087;0,00089;0,0012
13010;Parintins;AM;-0,00253;-0,00298;-0,0027;-0,00283;-0,0019;-0,00427
13011;Boca do Acre;AM;-0,01308;-0,01465;-0,0143;-0,01354;-0,01198;-0,01486
13012;Purus;AM;-0,00284;-0,00305;-0,00334;-0,00246;-0,00176;-0,00253
13013;Madeira;AM;0,00664;0,00553;0,00486;0,00491;0,0051;0,00372
14001;Boa Vista;RR;0,01207;0,01255;0,01178;0,01242;0,01254;0,01262
14002;Nordeste de Roraima;RR;0,00512;0,0026;0,00242;0,00225;0,00239;0,00589
14003;Caracaraí;RR;0,01305;0,01388;0,01578;0,01401;0,01714;0,01587
14004;Sudeste de Roraima;RR;0,01871;0,01813;0,01827;0,01718;0,01676;0,01616
15001;Óbidos;PA;0,00275;0,00258;0,00172;0,00311;0,00306;0,0033
15002;Santarém;PA;-0,00649;-0,00589;-0,00658;-0,00659;-0,00591;-0,00667
15003;Almeirim;PA;-0,00113;-0,00269;-0,00199;-0,00232;-0,00151;-0,00027
15004;Portel;PA;0,00949;0,00981;0,00715;0,0072;0,00842;0,00846
15005;Furos de Breves;PA;-0,00284;-0,00417;-0,00484;-0,00427;-0,00432;-0,00532
15006;Arari;PA;0,01215;0,01198;0,01098;0,0107;0,01105;0,01103
15007;Belém;PA;0,0012;0,00084;0,00082;0,00119;0,00222;0,002
15008;Castanhal;PA;0,01031;0,01025;0,0105;0,01012;0,01136;0,01092
15009;Salgado;PA;0,00021;-0,00036;-0,00065;-0,00053;-0,00024;0,00091
15010;Bragantina;PA;-0,0009;-0,00156;-0,0019;-0,0011;-0,00056;-0,00086
15011;Cametá;PA;0,00358;0,00364;0,00338;0,00399;0,00475;0,00475
15012;Tomé-Açu;PA;0,01749;0,0173;0,01836;0,01909;0,01979;0,02132
15013;Guamá;PA;0,00514;0,00512;0,006;0,00649;0,00767;0,00863
15014;Itaituba;PA;-0,00776;-0,00509;-0,00751;-0,00643;-0,00587;-0,00717
15015;Altamira;PA;0,00706;0,00712;0,00668;0,00632;0,00737;0,00841
15016;Tucuruí;PA;0,01125;0,01142;0,01132;0,01169;0,01283;0,01328
15017;Paragominas;PA;0,0162;0,01737;0,01843;0,01871;0,01992;0,02058
15018;São Félix do Xingu;PA;0,05514;0,05709;0,05806;0,05911;0,06035;0,06106
15019;Parauapebas;PA;0,03684;0,03661;0,0372;0,0394;0,04231;0,04427
15020;Marabá;PA;0,01134;0,01068;0,01064;0,0105;0,01248;0,01261
15021;Redenção;PA;-0,00816;-0,00778;-0,0079;-0,00905;-0,0079;-0,00842
15022;Conceição do Araguaia;PA;0,02267;0,02386;0,0239;0,02428;0,02507;0,02553
16001;Oiapoque;AP;0,01976;0,01947;0,01856;0,02089;0,01877;0,0188
16002;Amapá;AP;0,01994;0,02192;0,02253;0,02078;0,02386;0,02334
16003;Macapá;AP;0,01343;0,0127;0,01258;0,01372;0,01415;0,01483
16004;Mazagão;AP;0,0131;0,01179;0,01151;0,01235;0,01462;0,01448
17001;Bico do Papagaio;TO;-0,00306;-0,00232;-0,00251;-0,00255;-0,00125;-0,00176
17002;Araguaína;TO;0,00405;0,00446;0,00428;0,00446;0,00518;0,005
17003;Miracema do Tocantins;TO;-0,0076;-0,00758;-0,00733;-0,00779;-0,00737;-0,00686
17004;Rio Formoso;TO;-0,0008;0,0006;-0,00071;0,00049;0,00037;0,00005
17005;Gurupi;TO;-0,00121;-0,00036;-0,00187;-0,00219;-0,00116;-0,00113
17006;Porto Nacional;TO;0,02231;0,02259;0,02239;0,02259;0,02383;0,02321
17007;Jalapão;TO;-0,00055;-0,0007;-0,00162;-0,00018;-0,00004;0,0001
17008;Dianópolis;TO;-0,00722;-0,00794;-0,00672;-0,00719;-0,00596;-0,00692
21001;Litoral Ocidental Maranhense;MA;-0,00826;-0,00758;-0,00796;-0,00722;-0,00709;-0,00762
21002;Aglomeração Urbana de São Luís;MA;0,00504;0,00565;0,00588;0,00589;0,00662;0,00668
21003;Rosário;MA;0,00212;0,00341;0,00301;0,00272;0,00329;0,00349
21004;Lençóis Maranhenses;MA;0,01146;0,011;0,01168;0,01173;0,01221;0,01232
21005;Baixada Maranhense;MA;-0,00039;-0,0004;0,00009;-0,00016;0,00016;-0,00029
21006;Itapecuru Mirim;MA;0,01819;0,01882;0,01714;0,01828;0,01984;0,01881
21007;Gurupi;MA;0,00356;0,00501;0,00461;0,0052;0,00726;0,00616
21008;Pindaré;MA;-0,0025;-0,002;-0,00261;-0,00221;-0,00177;-0,00132
21009;Imperatriz;MA;-0,00498;-0,00541;-0,00593;-0,00633;-0,00479;-0,00488
21010;Médio Mearim;MA;-0,01077;-0,0104;-0,01034;-0,00997;-0,00879;-0,00904
21011;Alto Mearim e Grajaú;MA;-0,00093;-0,00128;-0,00106;-0,00231;0,00143;-0,00098
21012;Presidente Dutra;MA;-0,00864;-0,00944;-0,00997;-0,00911;-0,00863;-0,01016
21013;Baixo Parnaíba Maranhense;MA;0,0013;0,00194;0,00196;0,00151;0,00251;0,00197
21014;Chapadinha;MA;-0,00005;0,00095;0,00053;0,00142;0,00348;0,00216
21015;Codó;MA;-0,00885;-0,00797;-0,00878;-0,00799;-0,00679;-0,00771
21016;Coelho Neto;MA;-0,0033;-0,00223;-0,00192;-0,00161;0,00077;-0,00067
21017;Caxias;MA;-0,00199;-0,00156;-0,00189;-0,00226;-0,00154;-0,00226
21018;Chapadas do Alto Itapecuru;MA;-0,00487;-0,00348;-0,00572;-0,00318;-0,00415;-0,00304
21019;Porto Franco;MA;0,0066;0,008;0,00795;0,00955;0,00871;0,00924
21020;Gerais de Balsas;MA;0,00456;0,00433;0,00458;0,00299;0,0049;0,00494
21021;Chapadas das Mangabeiras;MA;-0,0037;-0,00493;-0,00492;-0,00683;-0,00601;-0,00505
22001;Baixo Parnaíba Piauiense;PI;-0,00582;-0,00536;-0,00617;-0,00664;-0,00592;-0,00645
22002;Litoral Piauiense;PI;-0,0025;-0,00211;-0,00268;-0,003;-0,00282;-0,00308
22003;Teresina;PI;-0,00125;-0,00087;-0,00138;-0,00173;-0,00137;-0,00234
22004;Campo Maior;PI;-0,00862;-0,00747;-0,00762;-0,00799;-0,00647;-0,00749
22005;Médio Parnaíba Piauiense;PI;-0,00839;-0,00725;-0,00835;-0,00965;-0,00808;-0,00853
22006;Valença do Piauí;PI;-0,00857;-0,00834;-0,00849;-0,008;-0,01048;-0,0095
22007;Alto Parnaíba Piauiense;PI;0,0022;0,00052;0,00329;-0,00229;0,00152;0,00053
22008;Bertolínia;PI;-0,00557;-0,00528;-0,00579;-0,00593;-0,00549;-0,00634
22009;Floriano;PI;-0,00987;-0,00953;-0,01128;-0,01046;-0,01048;-0,01117
22010;Alto Médio Gurguéia;PI;-0,0008;-0,00151;-0,00092;-0,00122;-0,001;-0,00141
22011;São Raimundo Nonato;PI;-0,00097;-0,00178;-0,00161;-0,00228;-0,00257;-0,0023
22012;Chapadas do Extremo Sul Piauiense;PI;-0,00705;-0,00716;-0,00714;-0,00638;-0,00673;-0,00797
22013;Picos;PI;-0,00265;-0,0025;-0,00375;-0,00334;-0,00334;-0,00392
22014;Pio IX;PI;-0,00207;0,00091;-0,00028;-0,00196;-0,0007;-0,0005
22015;Alto Médio Canindé;PI;-0,00317;-0,00241;-0,00281;-0,00318;-0,00299;-0,00306
23001;Litoral de Camocim e Acaraú;CE;-0,00085;-0,00059;-0,00071;-0,00089;-0,00086;-0,00172
23002;Ibiapaba;CE;-0,001;-0,0007;-0,00086;-0,00123;-0,00174;-0,00153
23003;Coreaú;CE;-0,00263;-0,00199;-0,00339;0,00025;-0,00109;-0,00164
23004;Meruoca;CE;0,00338;0,00216;0,00376;0,00561;0,00514;0,00334
23005;Sobral;CE;0,00202;0,00229;0,00154;0,00303;0,00254;0,00272
23006;Ipu;CE;-0,00924;-0,00827;-0,00825;-0,00823;-0,00895;-0,01022
23007;Santa Quitéria;CE;-0,00735;-0,00614;-0,0064;-0,00357;-0,00209;-0,00559
23008;Itapipoca;CE;0,00454;0,00453;0,00391;0,00331;0,00305;0,00321
23009;Baixo Curu;CE;0,00318;0,00214;0,00158;0,00173;0,00137;0,0019
23010;Uruburetama;CE;0,00212;0,00276;0,0016;0,00138;0,002;0,00291
23011;Médio Curu;CE;0,00039;0,00045;0,00217;-0,00055;0,00147;0,00027
23012;Canindé;CE;-0,00048;0,0003;-0,00151;-0,00067;0,00007;-0,00013
23013;Baturité;CE;-0,00331;-0,00235;-0,00402;-0,00365;-0,00244;-0,00221
23014;Chorozinho;CE;-0,00133;-0,00292;-0,00323;-0,00172;-0,00246;0,0002
23015;Cascavel;CE;0,00479;0,00414;0,00352;0,0031;0,00336;0,00391
23016;Fortaleza;CE;0,00313;0,0034;0,00273;0,00214;0,00247;0,00312
23017;Pacajus;CE;0,02674;0,02633;0,02594;0,02543;0,02711;0,02753
23018;Sertão de Cratéus;CE;-0,00741;-0,00607;-0,00705;-0,00719;-0,00654;-0,00675
23019;Sertão de Quixeramobim;CE;-0,00006;0,00144;0,00018;0,00013;0,0009;0,00032
23020;Sertão de Inhamuns;CE;-0,00462;-0,00463;-0,00461;-0,00446;-0,00502;-0,00502
23021;Sertão de Senador Pompeu;CE;-0,00467;-0,00334;-0,00389;-0,00439;-0,00359;-0,00427
23022;Litoral de Aracati;CE;0,00252;0,00202;0,0017;0,00107;0,00058;0,00117
23023;Baixo Jaguaribe;CE;-0,00093;-0,00026;-0,00053;-0,00201;-0,00101;-0,00101
23024;Médio Jaguaribe;CE;-0,00872;-0,00872;-0,00855;-0,0089;-0,00723;-0,00884
23025;Serra do Pereiro;CE;-0,00442;-0,00423;-0,00661;-0,00386;-0,00453;-0,00366
23026;Iguatu;CE;-0,00397;-0,00359;-0,00501;-0,00498;-0,00374;-0,00396
23027;Várzea Alegre;CE;-0,00517;-0,00444;-0,00501;-0,00551;-0,00397;-0,00537
23028;Lavras da Mangabeira;CE;-0,00717;-0,00709;-0,00788;-0,00895;-0,00781;-0,00901
23029;Chapada do Araripe;CE;-0,00702;-0,00649;-0,00504;-0,00623;-0,00546;-0,00722
23030;Caririaçu;CE;-0,01092;-0,01216;-0,01243;-0,01139;-0,01185;-0,01192
23031;Barro;CE;-0,00843;-0,00923;-0,01024;-0,00843;-0,00828;-0,00926
23032;Cariri;CE;-0,00058;-0,00051;-0,0005;-0,00102;-0,00063;-0,00104
23033;Brejo Santo;CE;0;-0,00071;-0,00191;-0,00143;-0,00052;-0,00015
24001;Mossoró;RN;0,00657;0,00609;0,00619;0,00572;0,00751;0,00666
24002;Chapada do Apodi;RN;-0,00783;-0,0072;-0,0084;-0,00812;-0,00655;-0,00669
24003;Médio Oeste;RN;-0,00518;-0,00574;-0,00653;-0,00543;-0,00286;-0,00456
24004;Vale do Açu;RN;0,00024;0,00109;-0,00036;-0,00101;0,00101;-0,00016
24005;Serra de São Miguel;RN;-0,00618;-0,00331;-0,00512;-0,00535;-0,00496;-0,00675
24006;Pau dos Ferros;RN;-0,00744;-0,00671;-0,00766;-0,00804;-0,00682;-0,00681
24007;Umarizal;RN;-0,00751;-0,00627;-0,00753;-0,00739;-0,00552;-0,00553
24008;Macau;RN;0,00672;0,00808;0,00384;0,00368;0,00718;0,00575
24009;Angicos;RN;-0,01055;-0,00925;-0,00892;-0,01065;-0,0083;-0,00933
24010;Serra de Santana;RN;-0,00917;-0,00828;-0,0096;-0,00948;-0,0071;-0,00858
24011;Seridó Ocidental;RN;-0,00106;-0,00033;0,0003;-0,00056;0,0004;0,00008
24012;Seridó Oriental;RN;-0,00643;-0,00659;-0,00674;-0,00635;-0,00414;-0,00652
24013;Baixa Verde;RN;-0,00302;-0,00183;-0,00294;-0,00266;-0,00159;-0,00276
24014;Borborema Potiguar;RN;-0,00549;-0,00501;-0,0061;-0,00575;-0,00518;-0,00564
24015;Agreste Potiguar;RN;-0,00061;-0,00026;-0,00064;-0,00041;0,00004;0,00002
24016;Litoral Nordeste;RN;-0,00032;-0,00289;-0,00335;-0,00191;-0,00058;-0,001
24017;Macaíba;RN;0,00446;0,0041;0,00345;0,00362;0,00533;0,00419
24018;Natal;RN;0,00671;0,00688;0,00671;0,00667;0,00808;0,00798
24019;Litoral Sul;RN;-0,00141;-0,00092;0,00012;-0,00093;-0,0001;-0,00053
25001;Catolé do Rocha;PB;-0,00365;-0,00315;-0,00339;-0,0036;-0,00238;-0,00265
25002;Cajazeiras;PB;-0,0039;-0,00327;-0,00373;-0,00459;-0,00316;-0,00408
25003;Sousa;PB;-0,00655;-0,0059;-0,00648;-0,00658;-0,00495;-0,00573
25004;Patos;PB;-0,00291;-0,00302;-0,00401;-0,00429;-0,00297;-0,00445
25005;Piancó;PB;-0,012;-0,01081;-0,01171;-0,01345;-0,01099;-0,01199
25006;Itaporanga;PB;-0,00905;-0,01006;-0,01181;-0,01047;-0,01025;-0,01129
25007;Serra do Teixeira;PB;-0,00478;-0,00417;-0,00485;-0,00574;-0,00475;-0,00485
25008;Seridó Ocidental Paraibano;PB;-0,00443;-0,00432;-0,00571;-0,0059;-0,00188;-0,00432
25009;Seridó Oriental Paraibano;PB;-0,00186;-0,00249;-0,00323;-0,00273;-0,00062;-0,00168
25010;Cariri Ocidental;PB;-0,0028;-0,00293;-0,00474;-0,00395;-0,00351;-0,004
25011;Cariri Oriental;PB;-0,00522;-0,00507;-0,00603;-0,0063;-0,00538;-0,00556
25012;Curimataú Ocidental;PB;0,0005;-0,0001;-0,00092;-0,00018;0,00125;-0,00028
25013;Curimataú Oriental;PB;-0,00897;-0,00941;-0,00923;-0,00901;-0,00905;-0,00952
25014;Esperança;PB;-0,00181;-0,00137;-0,00397;-0,00236;-0,00102;-0,00087
25015;Brejo Paraibano;PB;-0,0138;-0,01328;-0,01375;-0,0148;-0,01329;-0,01467
25016;Guarabira;PB;-0,00715;-0,00723;-0,009;-0,00798;-0,00695;-0,00795
25017;Campina Grande;PB;-0,00453;-0,00442;-0,00578;-0,00562;-0,0047;-0,00545
25018;Itabaiana;PB;-0,0091;-0,0095;-0,01117;-0,01091;-0,00959;-0,01005
25019;Umbuzeiro;PB;-0,0134;-0,01277;-0,01438;-0,01322;-0,01295;-0,01341
25020;Litoral Norte;PB;-0,00283;-0,00221;-0,00179;-0,00305;-0,00359;-0,00461
25021;Sapé;PB;-0,00449;-0,00406;-0,00325;-0,0041;-0,00335;-0,00565
25022;João Pessoa;PB;0,00506;0,00447;0,0045;0,00366;0,00427;0,00326
25023;Litoral Sul;PB;-0,00425;-0,00591;-0,00508;-0,00662;-0,00626;-0,00718
26001;Araripina;PE;-0,00646;-0,00505;-0,00569;-0,00597;-0,00438;-0,00502
26002;Salgueiro;PE;-0,00978;-0,00828;-0,00864;-0,00941;-0,00729;-0,00708
26003;Pajeú;PE;-0,00721;-0,00647;-0,0072;-0,00714;-0,00502;-0,00665
26004;Sertão do Moxotó;PE;0,00065;0,00134;0,00126;0,00276;0,00341;0,00176
26005;Petrolina;PE;0,00725;0,00708;0,00616;0,00639;0,00747;0,00771
26006;Itaparica;PE;-0,00236;-0,00181;-0,0018;-0,00128;-0,00015;-0,00053
26007;Vale do Ipanema;PE;-0,00396;-0,00333;-0,00358;-0,00299;-0,00124;-0,00289
26008;Vale do Ipojuca;PE;0,00161;0,00178;0,00122;0,00204;0,00412;0,00184
26009;Alto Capibaribe;PE;0,01395;0,01456;0,01485;0,01561;0,01714;0,01598
